model,route,route_type,time_slot,start_hour,rep,fuel_total,fuel_drive,fuel_idle,travel_time,wait_time,distance,wait_count,reached,steps,n_left,n_right,n_straight,path
shortest_dijkstra,cross_main,long,peak,8.0,1,1034.7392,694.368,340.3713,1161.2748,778.0585,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,2,1084.0439,658.4305,425.6134,1068.4965,972.9144,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,3,1050.5605,618.2147,432.3458,978.721,988.3041,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,4,1085.6263,668.0172,417.6091,1094.5007,954.6173,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,5,1082.3017,722.018,360.2836,1222.3186,823.5764,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,6,1036.4407,586.0427,450.3981,890.5455,1029.57,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,7,946.8194,662.3735,284.4459,1077.9322,650.2181,3657.0,7,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,8,961.8755,662.01,299.8654,1082.6364,685.4658,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,9,1085.4972,692.4596,393.0376,1148.3095,898.4489,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,10,1081.5767,685.5622,396.0145,1136.8257,905.2539,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,11,951.8993,638.7282,313.1711,1026.6911,715.8814,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,12,1087.841,649.6783,438.1627,1051.8582,1001.6009,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,13,1044.3293,640.8436,403.4857,1036.1206,922.3324,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,14,1083.2895,679.5746,403.7149,1130.7514,922.8565,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,15,1084.966,642.2348,442.7312,1026.5646,1012.0443,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,16,1087.7455,631.0103,456.7352,1003.6138,1044.0561,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,17,945.0071,655.1404,289.8667,1053.1096,662.6095,3657.0,8,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,18,950.6386,622.2491,328.3895,986.2777,750.6693,3657.0,8,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,19,1084.8229,668.5207,416.3022,1096.4028,951.6299,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,20,954.0963,607.8072,346.2891,956.6602,791.5861,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,21,948.5922,703.0077,245.5845,1178.3905,561.3845,3657.0,7,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,22,947.8965,728.4858,219.4107,1234.8546,501.5535,3657.0,7,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,23,1089.3539,644.5264,444.8275,1037.3136,1016.8361,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,24,948.3419,634.4892,313.8527,1008.348,717.4395,3657.0,8,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,25,1086.6657,616.5266,470.1392,970.8104,1074.6964,3657.0,10,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,26,1048.4099,637.4447,410.9653,1028.2282,939.4301,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,27,1096.7123,749.3945,347.3178,1289.8035,793.9377,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,28,957.4799,638.9725,318.5074,1029.9064,728.0796,3657.0,8,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
shortest_dijkstra,cross_main,long,peak,8.0,29,949.4621,611.2085,338.2537,964.6746,773.2179,3657.0,9,True,10,1,1,8,1->2->8->14->20->26->32->33->34->35->36
